Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
88,189,111,9,0,79.27,2,lbw,2,v Australia,Bengaluru,21-Oct-96
64,133,93,3,0,68.81,2,caught,2,v South Africa,Jaipur,23-Oct-96
28,55,38,5,0,73.68,1,lbw,1,v South Africa,Rajkot,29-Oct-96
62,-,60,8,0,103.33,1,caught,1,v Australia,Mohali,3-Nov-96
67,128,88,6,0,76.13,2,caught,1,v South Africa,Mumbai,6-Nov-96
114,157,126,14,0,90.47,1,stumped,1,v South Africa,Mumbai,14-Dec-96
0,12,4,0,0,0,2,bowled,2,v South Africa,Bloemfontein,23-Jan-97
1,14,14,0,0,7.14,4,bowled,1,v South Africa,Port Elizabeth,2-Feb-97
14,34,24,2,0,58.33,3,caught,1,v South Africa,East London,4-Feb-97
45,48,33,7,1,136.36,2,caught,2,v South Africa,Durban,13-Feb-97
13,18,15,0,1,86.66,2,caught,1,v Zimbabwe,Bulawayo,15-Feb-97
44,57,43,10,0,102.32,1,caught,1,v West Indies,Port of Spain,26-Apr-97
65*,111,70,7,0,92.85,1,not out,2,v West Indies,Port of Spain,27-Apr-97
9,22,15,1,0,60,1,bowled,2,v West Indies,Kingstown,30-Apr-97
1,17,11,0,0,9.09,1,caught,1,v West Indies,Bridgetown,3-May-97
117,188,137,13,2,85.4,2,bowled,2,v New Zealand,Bengaluru,14-May-97
2,19,4,0,0,50,2,caught,1,v Sri Lanka,Mumbai,17-May-97
4,10,7,1,0,57.14,1,caught,2,v Pakistan,Chennai,21-May-97
21,49,28,3,0,75,1,bowled,1,v Sri Lanka,Colombo (RPS),18-Jul-97
53,109,67,2,0,79.1,4,caught,1,v Sri Lanka,Colombo (RPS),26-Jul-97
27,55,28,3,0,96.42,1,caught,2,v Sri Lanka,Colombo (RPS),17-Aug-97
6,4,6,1,0,100,1,lbw,1,v Sri Lanka,Colombo (RPS),20-Aug-97
39,41,32,3,2,121.87,1,caught,2,v Sri Lanka,Colombo (SSC),24-Aug-97
2,17,11,0,0,18.18,1,bowled,1,v Pakistan,Hyderabad (Sind),28-Sep-97
21,24,18,2,1,116.66,1,caught,2,v Pakistan,Karachi,30-Sep-97
7,19,11,1,0,63.63,1,caught,1,v Pakistan,Lahore,2-Oct-97
82*,110,86,6,0,95.34,4,not out,2,v Sri Lanka,Guwahati,22-Dec-97
6,23,13,0,0,46.15,3,caught,1,v Sri Lanka,Margao,28-Dec-97
54,104,76,4,0,71.05,4,caught,2,v Bangladesh,Dhaka,10-Jan-98
8,21,11,1,0,72.72,2,caught,1,v Australia,Kochi,1-Apr-98
5,44,17,0,0,29.41,2,run out,1,v Zimbabwe,Vadodara,5-Apr-98
100,132,89,5,7,112.35,2,caught,2,v Australia,Kanpur,7-Apr-98
1,18,2,0,0,50,2,caught,1,v Zimbabwe,Cuttack,9-Apr-98
15,45,24,2,0,62.5,2,caught,1,v Australia,Delhi,14-Apr-98
33,48,29,6,0,113.79,2,caught,2,v Bangladesh,Mumbai,25-May-98
18,33,25,2,0,72,2,caught,2,v Kenya,Gwalior,28-May-98
100*,156,103,13,0,97.08,2,not out,2,v Kenya,Kolkata,31-May-98
65,79,50,9,0,130,2,caught,2,v Sri Lanka,Colombo (RPS),19-Jun-98
17,28,16,4,0,106.25,2,caught,2,v Sri Lanka,Colombo (SSC),1-Jul-98
128,182,131,8,2,97.7,2,stumped,1,v Sri Lanka,Colombo (RPS),7-Jul-98
127*,155,130,13,1,97.69,2,not out,2,v Zimbabwe,Bulawayo,26-Sep-98
29,33,21,4,1,138.09,1,caught,2,v Zimbabwe,Bulawayo,27-Sep-98
2,7,6,0,0,33.33,2,caught,2,v Zimbabwe,Harare,30-Sep-98
0,10,5,0,0,0,2,caught,1,v New Zealand,Taupo,9-Jan-99
23,37,19,4,0,121.05,2,caught,2,v New Zealand,Napier,12-Jan-99
5,27,12,1,0,41.66,1,lbw,2,v New Zealand,Auckland,16-Jan-99
22,49,40,2,0,55,4,caught,1,v England,Birmingham,29-May-99
37,105,58,1,0,63.79,2,run out,1,v Sri Lanka,Colombo (RPS),25-Aug-99
120,191,141,11,2,85.1,1,caught,1,v Sri Lanka,Colombo (SSC),29-Aug-99
32,61,31,2,1,103.22,2,caught,2,v New Zealand,Rajkot,5-Nov-99
186*,221,150,20,3,124,2,not out,1,v New Zealand,Hyderabad (Deccan),8-Nov-99
1,41,23,0,0,4.34,2,caught,1,v New Zealand,Gwalior,11-Nov-99
2,21,10,0,0,20,2,caught,2,v New Zealand,Guwahati,14-Nov-99
0,2,3,0,0,0,4,caught,2,v New Zealand,Delhi,17-Nov-99
12,25,11,2,0,109.09,4,run out,2,v Australia,Melbourne,12-Jan-00
1,13,11,0,0,9.09,2,caught,1,v Australia,Sydney,14-Jan-00
18,45,28,2,0,64.28,1,caught,2,v Australia,Adelaide,26-Jan-00
3,23,21,0,0,14.28,2,bowled,1,v Australia,Perth,30-Jan-00
26,66,25,4,0,104,2,caught,2,v South Africa,Kochi,9-Mar-00
21,39,31,3,0,67.74,2,caught,2,v South Africa,Jamshedpur,12-Mar-00
12,48,28,1,0,42.85,2,lbw,1,v South Africa,Faridabad,15-Mar-00
122,195,138,12,0,88.4,2,caught,2,v South Africa,Vadodara,17-Mar-00
93,119,89,7,4,104.49,2,caught,2,v South Africa,Nagpur,19-Mar-00
36,55,25,4,2,144,2,caught,2,v Bangladesh,Dhaka,30-May-00
25,55,35,4,0,71.42,2,lbw,2,v Kenya,Nairobi (Gym),3-Oct-00
44,90,49,7,0,89.79,2,caught,2,v Zimbabwe,Cuttack,2-Dec-00
8,27,20,0,0,40,1,caught,1,v Zimbabwe,Ahmedabad,5-Dec-00
146,200,153,15,2,95.42,2,caught,1,v Zimbabwe,Jodhpur,8-Dec-00
62,113,86,9,0,72.09,2,lbw,2,v Zimbabwe,Kanpur,11-Dec-00
27,38,38,5,0,71.05,2,bowled,1,v Zimbabwe,Rajkot,14-Dec-00
35,47,26,6,1,134.61,2,run out,1,v Australia,Bengaluru,25-Mar-01
32,35,29,6,1,110.34,2,caught,1,v Australia,Pune,28-Mar-01
139,197,125,19,0,111.2,2,caught,1,v Australia,Indore,31-Mar-01
62,68,38,11,0,163.15,2,caught,2,v Australia,Visakhapatnam,3-Apr-01
12,17,15,2,0,80,2,caught,1,v Australia,Margao,6-Apr-01
70*,129,70,13,0,100,2,not out,2,v Zimbabwe,Harare,24-Jun-01
9,42,27,0,0,33.33,2,caught,2,v Zimbabwe,Bulawayo,27-Jun-01
101,209,129,9,0,78.29,2,caught,1,v South Africa,Johannesburg,5-Oct-01
38,82,57,5,0,66.66,2,caught,1,v South Africa,Centurion,10-Oct-01
37,68,35,5,0,105.71,2,bowled,2,v South Africa,East London,19-Oct-01
17,49,42,3,0,40.47,2,bowled,1,v South Africa,Durban,26-Oct-01
36,71,43,6,0,83.72,2,bowled,1,v England,Kolkata,19-Jan-02
45,101,60,6,0,75,2,run out,2,v England,Cuttack,22-Jan-02
68,110,79,10,0,86.07,1,lbw,2,v England,Chennai,25-Jan-02
87*,120,67,13,1,129.85,1,not out,2,v England,Kanpur,28-Jan-02
18,20,16,3,0,112.5,2,caught,2,v England,Delhi,31-Jan-02
12,22,18,1,1,66.66,2,caught,2,v England,Mumbai,3-Feb-02
34*,64,45,2,0,75.55,4,not out,2,v West Indies,Bridgetown,29-May-02
65,110,70,3,1,92.85,4,bowled,1,v West Indies,Port of Spain,2-Jun-02
1,12,9,0,0,11.11,4,lbw,2,v England,Lord's,29-Jun-02
36,60,29,5,0,124.13,4,caught,2,v England,The Oval,9-Jul-02
14,31,19,1,0,73.68,4,bowled,2,v England,Lord's,13-Jul-02
0,9,10,0,0,0,4,lbw,2,v New Zealand,Wellington,8-Jan-03
1,21,13,0,0,7.69,4,caught,2,v New Zealand,Auckland,11-Jan-03
1,7,6,0,0,16.66,3,caught,1,v New Zealand,Hamilton,14-Jan-03
81,122,91,10,0,89.01,2,bowled,1,v Zimbabwe,Harare,19-Feb-03
100,158,119,9,1,84.03,2,caught,1,v Australia,Gwalior,26-Oct-03
68,113,76,10,0,89.47,2,bowled,2,v Australia,Mumbai,1-Nov-03
14,29,14,3,0,100,2,lbw,1,v New Zealand,Cuttack,6-Nov-03
89,133,91,12,1,97.8,2,bowled,2,v Australia,Bengaluru,12-Nov-03
102,124,91,12,1,112.08,2,caught,1,v New Zealand,Hyderabad (Deccan),15-Nov-03
45,104,66,5,0,68.18,1,bowled,2,v Australia,Kolkata,18-Nov-03
63,117,69,8,1,91.3,2,caught,2,v Australia,Melbourne,9-Jan-04
86,129,95,8,0,90.52,2,caught,1,v Australia,Brisbane,18-Jan-04
5,17,6,1,0,83.33,2,caught,1,v Australia,Perth,1-Feb-04
8,28,22,1,0,36.36,2,bowled,1,v Australia,Melbourne,6-Feb-04
27,38,40,4,0,67.5,2,caught,2,v Australia,Sydney,8-Feb-04
28,49,35,4,1,80,2,caught,1,v Pakistan,Karachi,13-Mar-04
141,173,135,17,1,104.44,2,caught,2,v Pakistan,Rawalpindi,16-Mar-04
0,7,5,0,0,0,2,caught,1,v Pakistan,Peshawar,19-Mar-04
7,22,13,1,0,53.84,2,caught,2,v Pakistan,Lahore,21-Mar-04
37,60,48,7,0,77.08,2,caught,1,v Pakistan,Lahore,24-Mar-04
11,17,13,2,0,84.61,1,caught,2,v Sri Lanka,Dambulla,18-Jul-04
18,30,21,3,0,85.71,1,lbw,1,v Sri Lanka,Colombo (RPS),27-Jul-04
74,170,100,7,1,74,2,bowled,2,v Sri Lanka,Colombo (RPS),1-Aug-04
16,30,17,2,0,94.11,2,run out,1,v Pakistan,Kolkata,13-Nov-04
19,46,32,3,0,59.37,2,caught,1,v Bangladesh,Chittagong,23-Dec-04
47,60,42,9,0,111.9,2,caught,1,v Bangladesh,Dhaka,27-Dec-04
4,8,4,1,0,100,2,caught,1,v Pakistan,Kochi,2-Apr-05
2,17,8,0,0,25,2,run out,1,v Pakistan,Visakhapatnam,5-Apr-05
